original,standard
Ho Kang You,HOKANGYOU
Ho-Sam-Sooi,HOSAMSOOI
Ho Ten Soeng,HOTENSOENG
de la Hoya,DELAHOYA
Huerta de Soto,HUERTADESOTO
Huta Galung,HUTAGALUNG
Ibn Battuta,IBNBATTUTA
Ibn Eed,IBNEED
Ibn Ghaldoen,IBNGHALDOEN
Ibn Ishaq,IBNISHAQ
Ibn Nurleilly,IBNNURLEILLY
Ibn Saoed,IBNSAOED
Ibn Saud,IBNSAUD
IJbe,IJBE
IJbema,IJBEMA
IJdens,IJDENS
IJf,IJF
IJff,IJFF
IJisberg,IJISBERG
IJnsen,IJNSEN
IJntema,IJNTEMA
IJpe,IJPE
IJsbrandij,IJSBRANDIJ
IJsbrantsz,IJSBRANTSZ
IJsenbrant,IJSENBRANT
IJskes,IJSKES
IJsseling,IJSSELING
IJzer,IJZER
IJzerman,IJZERMAN
IJzermans,IJZERMANS
IJzinga,IJZINGA
lki,LKI
In de Grot,INDEGROT
in 't Veen,INTVEEN
in 't Veld,INTVELD
Jacobsz.,JACOBSZ
Jansz.,JANSZ
Jap Tjong,JAPTJONG
Jean-Baptiste,JEANBAPTISTE
Jean-Marie,JEANMARIE
Jean-Renault,JEANRENAULT
Jeevanatha Rao,JEEVANATHARAO
Joesoef Djamil,JOESOEFDJAMIL
Jung-Woo,JUNGWOO
K.,K
Ka'er,KAER
Karg-Elert,KARGELERT
Khalifa Al Thani,KHALIFAALTHANI
Kjo/ren,KJOREN
Klein Egelink,KLEINEGELINK
Klein Entink,KLEINENTINK
Klein Essink,KLEINESSINK
Klein Gunnewiek,KLEINGUNNEWIEK
Klein Wolterink,KLEINWOLTERINK
Kone Guei,KONEGUEI
Kong-A-San,KONGASAN
Konsolaki-Giannopoulou,KONSOLAKIGIANNOPOULOU
Koser Kaya,KOSERKAYA
Krishnamurthy Guru,KRISHNAMURTHYGURU
Kumar Agrawal,KUMARAGRAWAL
Kumar Biswal,KUMARBISWAL
Kumar Ganumala,KUMARGANUMALA
Kumar Gupta,KUMARGUPTA
Kumar Jain,KUMARJAIN
Kumar Jayakumar,KUMARJAYAKUMAR
Kumar Kadhyan,KUMARKADHYAN
Kumar Kanda,KUMARKANDA
Kumar Khare,KUMARKHARE
Kumar Mekap,KUMARMEKAP
Kumar Murthy,KUMARMURTHY
Kumar Natarayan,KUMARNATARAYAN
Kumar Ramadurai,KUMARRAMADURAI
Kumar Rampal,KUMARRAMPAL
Kumar Rana,KUMARRANA
Kumar Sahoo,KUMARSAHOO
Kumar Saxena,KUMARSAXENA
Kumar Sharma,KUMARSHARMA
Kumar Singh,KUMARSINGH
Kumar Subramaniam,KUMARSUBRAMANIAM
Kumar Venkataramani,KUMARVENKATARAMANI
La Belle,LABELLE
La Boétie,LABOETIE
la Biona,LABIONA
La Castra,LACASTRA
La Chance,LACHANCE
La Cour,LACOUR
LaCroix,LACROIX
LaFloer,LAFLOER
La Fontaine,LAFONTAINE
LaGrange,LAGRANGE
LaGrangieri,LAGRANGIERI
La Grouw,LAGROUW
LaGuerta,LAGUERTA
LaKosh,LAKOSH
La Lau,LALAU
La Lavas,LALAVAS
la Ling,LALING
La Mar,LAMAR
La Marr,LAMARR
La Marsh,LAMARSH
LaMay,LAMAY
Lam-Lion,LAMLION
LaMotte,LAMOTTE
Langwen Atim,LANGWENATIM
L'Anslois,LANSLOIS
L'Anson,LANSON
LaPid,LAPID
LaPorta,LAPORTA
La Rocca,LAROCCA
La Roche,LAROCHE
LaRock,LAROCK
La Rose,LAROSE
La Rousse,LAROUSSE
L'Arroquette,LARROQUETTE
La Salle,LASALLE
La Val,LAVAL
LaVall,LAVALL
LaValle,LAVALLE
LaVette,LAVETTE
La Vigne,LAVIGNE
La Viola,LAVIOLA
LaViolet,LAVIOLET
LaxmanPrakash,LAXMANPRAKASH
LeBlanc,LEBLANC
LeChien,LECHIEN
le Clézio,LECLEZIO
Le Clos,LECLOS
LeFresne,LEFRESNE
LeGarda,LEGARDA
LeGate,LEGATE
le Grand,LEGRAND
Le Guen,LEGUEN
Le May,LEMAY
Le Menn,LEMENN
Le Metayer,LEMETAYER
